,PER,DATE,LOC,ORG,Mean
lug,0.78926957,0.6751497,0.77357304,0.76325935,0.7503129
kin,0.7053152,0.6834842,0.74499047,0.7058728,0.7099157
nya,0.7306978,0.67360234,0.7157496,0.70499057,0.70626014
sna,0.695446,0.6860293,0.70904744,0.6921097,0.6956581
xho,0.6373817,0.69092053,0.69016206,0.7003818,0.67971146
zul,0.70445496,0.64065665,0.6702027,0.6723727,0.67192173
tsn,0.67919785,0.6562947,0.6624125,0.6821601,0.6700163
luo,0.685827,0.6380679,0.68953526,0.65469223,0.6670306
wol,0.6630232,0.6275298,0.65059686,0.6614496,0.65064985
hau,0.65597177,0.65758973,0.6327568,0.64512265,0.6478602
ibo,0.66862285,0.61653197,0.6602907,0.63470155,0.64503676
twi,0.6435811,0.60245806,0.62986314,0.64907545,0.6312444
swa,0.6435876,0.6159472,0.62395084,0.6264843,0.6274925
bam,0.6368406,0.63231045,0.61440516,0.6109807,0.6236342
ewe,0.6299876,0.61000985,0.6173361,0.6316996,0.62225825
mos,0.6398517,0.6003642,0.59109384,0.63265413,0.615991
pcm,0.6058992,0.5622861,0.5821517,0.59635794,0.58667374
yor,0.5900284,0.5771494,0.58099085,0.5911541,0.5848307
fon,0.6078819,0.52716815,0.57156616,0.5820985,0.57217866
bbj,0.5830337,0.5512237,0.5205207,0.55991393,0.55367297
