,LOC,DATE,PER,ORG
bam,0.9444692134857178,0.9640777707099915,0.9832570552825928,0.9701476097106934
bbj,0.9271740913391113,0.9614427089691162,0.9842800498008728,0.9824338555335999
ewe,0.9619709253311157,0.9620864391326904,0.9833476543426514,0.9879875779151917
fon,0.9295378923416138,0.963989794254303,0.9856828451156616,0.9816303253173828
hau,0.9285222291946411,0.9521970748901367,0.9795634746551514,0.9729231595993042
ibo,0.9423887729644775,0.9866630434989929,0.9855495691299438,0.9857727885246277
kin,0.977552056312561,0.9788886308670044,0.9843272566795349,0.9893819093704224
lug,0.9714107513427734,0.9504161477088928,0.9944671988487244,0.9596537351608276
luo,0.967019259929657,0.9766577482223511,0.9854207634925842,0.980548083782196
mos,0.9456465244293213,0.9431642293930054,0.9858714938163757,0.9831910133361816
nya,0.9568151831626892,0.9708517789840698,0.9875830411911011,0.9901637434959412
pcm,0.9611199498176575,0.9165123105049133,0.9855997562408447,0.9647597074508667
sna,0.9552145600318909,0.9849681854248047,0.985571563243866,0.984544575214386
swa,0.968875527381897,0.9206463098526001,0.9821825623512268,0.9666569828987122
tsn,0.9532856345176697,0.9796567559242249,0.986129105091095,0.9777872562408447
twi,0.9700698256492615,0.9733893871307373,0.9873387813568115,0.9890348315238953
wol,0.9379276633262634,0.9804067015647888,0.9854001998901367,0.9836000800132751
xho,0.9376879334449768,0.9802163243293762,0.9827523827552795,0.9825719594955444
yor,0.9236217141151428,0.9714678525924683,0.9734291434288025,0.9843384623527527
zul,0.9505142569541931,0.9793646931648254,0.9802117347717285,0.9889519810676575
