,ORG,PER,LOC,DATE
bam,0.9589651823043823,,0.9752393960952759,
bbj,0.9711074829101562,0.9548615217208862,0.935242772102356,
ewe,0.9778441190719604,0.9525976181030273,,
fon,0.9828853011131287,0.9472847580909729,0.9618234634399414,
hau,0.9762864708900452,0.9590674638748169,0.9590376019477844,
ibo,0.9735478758811951,,0.9720639586448669,
kin,0.9794521331787109,0.9664766788482666,0.9614320397377014,
lug,0.977452278137207,0.9414646625518799,,
luo,0.9701727032661438,0.9660327434539795,,
mos,0.976650059223175,0.9372637867927551,0.954035758972168,
nya,0.9690434336662292,0.9550131559371948,0.9575750231742859,
pcm,0.9219773411750793,0.956834614276886,0.9793913960456848,
sna,0.9650611877441406,0.9615914225578308,0.9698644280433655,
swa,0.9635013341903687,0.9512035846710205,0.9739218950271606,
tsn,0.9729515314102173,,0.9582996368408203,
twi,0.9829922318458557,0.9643926620483398,0.9667330980300903,
wol,0.9632850289344788,0.966954231262207,0.9534286260604858,
xho,,0.9550509452819824,0.9517514705657959,
yor,0.972871720790863,,0.9159857630729675,
zul,,0.9660964012145996,0.9497633576393127,
