,DATE,LOC,PER,ORG,Mean
lug,0.5806175,0.64422196,0.6780068,0.6403514,0.6357994
kin,0.5699891,0.5942768,0.6179423,0.5875159,0.592431
nya,0.5597828,0.55678093,0.6226933,0.5655626,0.5762049
xho,0.58155054,0.5662984,0.5515876,0.5814118,0.57021207
sna,0.57294023,0.5597228,0.5502601,0.5637597,0.56167066
luo,0.5302116,0.55342436,0.59666765,0.5354509,0.5539386
zul,0.52420074,0.5502214,0.5777856,0.55928046,0.55287206
tsn,0.52761865,0.51275474,0.58651847,0.54563373,0.5431314
wol,0.50605065,0.52138054,0.5633452,0.5485333,0.5348275
ibo,0.5105198,0.53635955,0.5451499,0.5086896,0.5251797
hau,0.5370418,0.50847435,0.5319442,0.51791775,0.5238445
twi,0.48032552,0.5094955,0.5657332,0.51685524,0.51810235
bam,0.5155821,0.50196517,0.53484297,0.49553898,0.5119823
mos,0.4690154,0.47129574,0.51606166,0.50368613,0.49001473
ewe,0.46556234,0.474483,0.506224,0.49675274,0.4857555
swa,0.48372313,0.45133135,0.5382376,0.46619123,0.48487085
pcm,0.42783827,0.45704752,0.5254106,0.46284378,0.46828505
fon,0.40252474,0.4520465,0.4864413,0.46040902,0.45035538
yor,0.42920852,0.4182287,0.44106662,0.41303793,0.42538545
bbj,0.40265936,0.4017749,0.4679466,0.41912314,0.422876
