model,config,layer,layer_mean_cosine_over_languages
mbert,use1_use0_con4_max500_bat32,1,0.9986495855022726
mbert,use1_use0_con4_max500_bat32,2,0.9997794271298993
mbert,use1_use0_con4_max500_bat32,3,0.9999534150387897
mbert,use1_use0_con4_max500_bat32,4,0.9999005189543382
mbert,use1_use0_con4_max500_bat32,5,0.9949651856786497
mbert,use1_use0_con4_max500_bat32,6,0.9880779597944762
mbert,use1_use0_con4_max500_bat32,7,0.9823748829169666
mbert,use1_use0_con4_max500_bat32,8,0.9749759023538402
mbert,use1_use0_con4_max500_bat32,9,0.9784302390891249
mbert,use1_use0_con4_max500_bat32,10,0.978977073607046
mbert,use1_use0_con4_max500_bat32,11,0.9798698550515235
mbert,use1_use0_con4_max500_bat32,12,0.935076543250762
