,LOC,PER,DATE,ORG,Mean
kin,0.99884963,0.9995796,0.9992109,0.99958444,0.99930614
lug,0.99870974,0.9998491,0.9990907,0.9995276,0.9992943
nya,0.9985309,0.9996423,0.99874073,0.9996095,0.99913085
sna,0.9988248,0.999227,0.9990525,0.99936956,0.99911845
luo,0.9985064,0.9995616,0.99907136,0.999233,0.9990931
wol,0.9985111,0.9994835,0.9990624,0.99911535,0.9990431
tsn,0.99777263,0.99949306,0.99905974,0.9992496,0.99889374
ibo,0.99826026,0.9995046,0.9988797,0.99891627,0.99889016
zul,0.998198,0.99919134,0.9984617,0.99915826,0.99875236
xho,0.9983779,0.9989417,0.99855226,0.9991371,0.9987523
twi,0.997738,0.99957633,0.99828887,0.99923736,0.9987101
ewe,0.99788505,0.99957484,0.9982093,0.9990041,0.9986683
mos,0.9980524,0.99941283,0.99792767,0.9990432,0.998609
pcm,0.99840015,0.9996334,0.9971416,0.99909145,0.9985666
bam,0.99810475,0.99937046,0.99810815,0.99832565,0.9984772
swa,0.9979319,0.9995249,0.997702,0.9986059,0.99844116
hau,0.9979596,0.9993389,0.9973528,0.9987857,0.99835926
yor,0.99743116,0.99889743,0.998144,0.9985503,0.9982557
fon,0.9973426,0.9993721,0.9962836,0.99864215,0.99791014
bbj,0.9971092,0.99943835,0.9969999,0.9977039,0.99781287
