Language,Cosine_Similarity
kin,0.9842346
zul,0.9834652
xho,0.98340094
lug,0.98338974
nya,0.98111546
sna,0.9787256
swa,0.9623833
hau,0.95195895
ibo,0.9515464
luo,0.95144606
tsn,0.9412987
ewe,0.9392727
twi,0.938691
wol,0.9313417
bam,0.9297441
mos,0.9266563
fon,0.90300727
bbj,0.89962745
pcm,0.89471203
yor,0.894117
