Language,Cosine_Similarity
lug,0.99958265
tsn,0.9991757
pcm,0.999172
twi,0.9991059
swa,0.9991022
kin,0.9990662
bam,0.9990382
wol,0.9986823
ewe,0.99865264
nya,0.9986132
luo,0.9984898
hau,0.99837637
zul,0.99833834
ibo,0.99830794
xho,0.99795127
mos,0.9978371
bbj,0.9977756
sna,0.99739593
fon,0.99687636
yor,0.996328
