,LOC,DATE,PER,ORG
bam,,,,0.9777617454528809
bbj,0.966239333152771,,,0.9857605695724487
ewe,,,0.9372379779815674,0.9850176572799683
fon,,,0.9300341606140137,
hau,,,0.9349000453948975,0.980683445930481
ibo,0.9789330363273621,,,0.9807001352310181
kin,,,,0.9645073413848877
lug,,,0.8882083296775818,0.9752457141876221
luo,,,0.9453546404838562,0.9646210074424744
mos,,,0.9183579683303833,0.9837217330932617
nya,,,,0.9840928316116333
pcm,0.9821648001670837,,0.9251730442047119,
sna,0.9842323064804077,,0.9344872236251831,
swa,,,0.9301769733428955,
tsn,0.9743211269378662,,,0.9790687561035156
twi,,,0.9372864961624146,
wol,,,,0.9748741388320923
xho,0.9761090278625488,,0.9297381043434143,
yor,0.9623485803604126,,,0.9819900989532471
zul,0.977092444896698,,,
