,ORG,PER,DATE,LOC,Mean
twi,0.994174599647522,0.9901756048202515,0.9866969585418701,0.9807939529418945,0.9879602789878845
kin,0.9913974404335022,0.986175537109375,0.9888252019882202,0.9835326671600342,0.9874827116727829
ibo,0.99000084400177,0.9923199415206909,0.9922508001327515,0.9645047783851624,0.9847690910100937
tsn,0.9872255325317383,0.9855651259422302,0.9890648126602173,0.9755286574363708,0.9843460321426392
luo,0.9887916445732117,0.984086275100708,0.9842751026153564,0.9785348773002625,0.9839219748973846
zul,0.9903115034103394,0.9846245050430298,0.9867308735847473,0.9672737717628479,0.9822351634502411
ewe,0.9924636483192444,0.9881389737129211,0.9686787128448486,0.9727895259857178,0.980517715215683
nya,0.9875242114067078,0.9918414950370789,0.9787894487380981,0.9615877270698547,0.9799357205629349
lug,0.9676346182823181,0.9887655377388,0.9768080711364746,0.9829712510108948,0.9790448695421219
wol,0.9887772798538208,0.9906538128852844,0.9832775592803955,0.949679434299469,0.9780970215797424
xho,0.9850070476531982,0.9812992811203003,0.9906609058380127,0.9550727009773254,0.9780099838972092
bbj,0.9907516241073608,0.9903445243835449,0.9752529859542847,0.9532114267349243,0.9773901402950287
sna,0.9760274887084961,0.983100414276123,0.9861233234405518,0.9601115584373474,0.9763406962156296
bam,0.9688986539840698,0.9879940748214722,0.9801859259605408,0.968083381652832,0.9762905091047287
mos,0.9895291924476624,0.987055778503418,0.9638372659683228,0.9632963538169861,0.9759296476840973
fon,0.9887107014656067,0.9867992997169495,0.9710710644721985,0.9528451561927795,0.9748565554618835
yor,0.97993403673172,0.9827001094818115,0.9808031320571899,0.9540201425552368,0.9743643552064896
swa,0.9643354415893555,0.983430802822113,0.9475861191749573,0.9861058592796326,0.9703645557165146
pcm,0.970984935760498,0.9853565096855164,0.9368236660957336,0.9803274869918823,0.9683731496334076
hau,0.9776861667633057,0.9862996339797974,0.9671555757522583,0.9333413243293762,0.9661206752061844
