,DATE,PER,ORG,LOC,Mean
pcm,,0.9202091097831726,,0.8626439571380615,0.8914265334606171
twi,,0.9331153631210327,0.8635534048080444,0.8740889430046082,0.8902525703112284
lug,,0.8873587250709534,0.8495887517929077,,0.8684737384319305
swa,,0.9118943214416504,0.7812322378158569,0.8804929256439209,0.8578731616338094
ewe,,0.8738555312156677,0.8150445222854614,,0.8444500267505646
kin,,0.8928790092468262,0.8371761441230774,0.7957023978233337,0.8419191837310791
luo,,0.8900185823440552,0.773741602897644,,0.8318800926208496
hau,,0.9011996388435364,0.8562523722648621,0.7165700197219849,0.8246740102767944
nya,,0.9088802337646484,0.8358757495880127,0.727880597114563,0.8242121934890747
mos,,0.8375649452209473,0.8067169785499573,,0.8221409618854523
fon,,0.8385537266731262,0.8512154817581177,0.7716488838195801,0.8204726974169413
ibo,,,0.8529719710350037,0.7689687013626099,0.8109703361988068
bam,,,0.7386887073516846,0.8705304265022278,0.8046095669269562
wol,,0.8885045647621155,0.7921864986419678,0.7027847170829773,0.7944919268290201
tsn,,,0.8297333121299744,0.7586014270782471,0.7941673696041107
sna,,0.8868083953857422,0.7369924187660217,0.7251607179641724,0.7829871773719788
zul,,0.8288346529006958,,0.6742143630981445,0.7515245079994202
bbj,,,0.8059645891189575,0.5974487066268921,0.7017066478729248
xho,,0.7220900058746338,,0.6595288515090942,0.690809428691864
yor,,,0.8071631789207458,0.4607471227645874,0.6339551508426666
