,PER,ORG,LOC,DATE,Mean
lug,0.99985397,0.9996654,0.99958014,0.9993223,0.9996054
kin,0.99967074,0.99948025,0.9994202,0.99925876,0.9994575
nya,0.99964905,0.9994533,0.9992882,0.99930656,0.99942434
luo,0.9995715,0.99932575,0.9992738,0.99923015,0.9993503
sna,0.999335,0.99939305,0.99930096,0.9992591,0.99932206
tsn,0.99949294,0.9993297,0.9987828,0.99912,0.9991814
wol,0.99933136,0.999151,0.99886596,0.99886674,0.9990538
zul,0.99918205,0.99885887,0.99886274,0.99871933,0.9989058
ibo,0.9988374,0.9985541,0.99872285,0.9985384,0.9986632
bam,0.9988995,0.9981379,0.99827343,0.9987544,0.9985163
ewe,0.99890417,0.9984629,0.9983795,0.9981466,0.9984733
pcm,0.99921644,0.9983983,0.9984128,0.99768955,0.99842924
twi,0.9988392,0.9985487,0.9983497,0.99793357,0.9984178
xho,0.9992106,0.99821854,0.99852365,0.9976253,0.99839455
mos,0.99880254,0.9985428,0.998211,0.9978681,0.9983561
hau,0.99881095,0.9979303,0.9980452,0.9969592,0.9979364
yor,0.9980815,0.9981019,0.99759805,0.9975742,0.997839
swa,0.9984905,0.9975922,0.9969099,0.99720275,0.9975488
bbj,0.9980983,0.9969627,0.99666625,0.99668646,0.99710345
fon,0.99787766,0.99740094,0.996608,0.99626815,0.9970387
