,DATE,LOC,ORG,PER,Mean
kin,0.9885392833206628,0.9929354803943339,0.9925410336827667,0.9930561267514877,0.9917679810373128
sna,0.9915578264211989,0.9881084302273617,0.9938030698561283,0.9922111290021881,0.9914201138767192
lug,0.9878981057636578,0.9872812372226085,0.9910380518948593,0.9968015656018708,0.990754740120749
nya,0.9866457055418798,0.9878562609261462,0.9929561025140705,0.9945908117206772,0.9905122201756935
twi,0.985203555200745,0.9866942570828084,0.9916498906487229,0.9916444083183643,0.9887980278126602
ibo,0.9896812552992439,0.9850322244913469,0.9800503703354186,0.9916941109613931,0.9866144902718507
hau,0.9866627397310822,0.9822222568655284,0.9858952560451819,0.990825951723305,0.9864015510912744
xho,0.9925920721536725,0.9818788935229481,0.988180719401141,0.9804194729476865,0.9857677895063621
luo,0.9781330039186054,0.9859108081093341,0.9881064670553373,0.9901346782285112,0.985571239327947
wol,0.9840051772560889,0.9771806469528511,0.982774563311983,0.9898518198051565,0.9834530518315199
tsn,0.9835180283268274,0.9746329868779529,0.9846080335221894,0.9895242883267948,0.9830708342634411
mos,0.9755704645062874,0.980042343426845,0.9878130751994514,0.9878471943764904,0.9828182693772685
zul,0.9807479856555095,0.971795705601435,0.9905321341543725,0.9856033951552013,0.9821698051416295
swa,0.9659693087994248,0.9780584283155732,0.9788114699909722,0.9933460142812597,0.9790463053468075
bam,0.9787012137514493,0.978023897957554,0.9734590954396319,0.9853426482180478,0.9788817138416708
ewe,0.9687011648870975,0.9665769163142522,0.9837194899064092,0.9883604204443358,0.9768394978880237
fon,0.9655635369195398,0.9695538811327513,0.9750212960464282,0.9812782677636923,0.9728542454656028
yor,0.9604578669549947,0.9631820114234608,0.9827103197193109,0.9795793950186346,0.9714823982791002
bbj,0.9674415814108402,0.9540220049137064,0.9671300884192069,0.9865009491962721,0.9687736559850064
pcm,0.9287923650731947,0.9655252864510832,0.9787617505638774,0.9897979373137662,0.9657193348504804
