,ORG,PER,DATE,LOC,Mean
kin,0.9879482,0.9381778,0.99043983,0.99302876,0.97739863
lug,0.98576623,0.9368127,0.98862576,0.9940282,0.9763082
nya,0.99028265,0.93712187,0.98554313,0.99038935,0.97583425
sna,0.98470986,0.9359276,0.99132097,0.98925984,0.9753046
luo,0.98336786,0.93390733,0.9779546,0.98693484,0.9705412
xho,0.9803796,0.9249977,0.99254775,0.9829422,0.97021675
hau,0.97649,0.9356472,0.9864626,0.97761106,0.96905273
tsn,0.98278755,0.93164265,0.98391646,0.9770614,0.96885204
zul,0.97532684,0.93506324,0.9806938,0.9814688,0.9681382
twi,0.98403704,0.9353683,0.9728222,0.9801014,0.96808225
wol,0.97701263,0.9348012,0.9797104,0.9779399,0.96736604
swa,0.98047125,0.93510157,0.97597975,0.97658765,0.96703506
ibo,0.9623238,0.927884,0.9767816,0.98565054,0.96316
bam,0.96320796,0.9225658,0.9781912,0.97916687,0.960783
mos,0.974163,0.9286276,0.96515983,0.9631932,0.9577859
ewe,0.9704905,0.91784126,0.9666007,0.9654453,0.95509446
yor,0.9525522,0.9159627,0.9482862,0.94827676,0.94126946
fon,0.9633539,0.9129713,0.92003596,0.9503173,0.9366696
pcm,0.9602287,0.9303465,0.90054166,0.94909465,0.9350529
bbj,0.9249395,0.91895354,0.92918515,0.8909389,0.9160043
