,PER,LOC,ORG,DATE,Mean
lug,0.9358574151992798,,0.9782869815826416,,0.9737409566129956
pcm,0.9455211162567139,0.9770641326904297,,,0.9736845237868172
swa,0.9512605667114258,0.9739354848861694,,,0.9715060293674469
ibo,,0.9687645435333252,0.9714032411575317,,0.9700838923454285
mos,0.9245442748069763,,0.9738965034484863,,0.9686087646654674
hau,0.9553736448287964,,0.9700902700424194,,0.9685134887695312
luo,0.9629101753234863,,0.9689846634864807,,0.968333825469017
sna,0.9561184048652649,0.9697309732437134,,,0.9682724837745939
twi,0.9609708189964294,0.9523169994354248,0.982852041721344,,0.9672101601114813
bam,,0.9727914333343506,0.9602203369140625,,0.9665058851242065
fon,0.9338810443878174,0.955890953540802,0.9756912589073181,,0.963984876308801
tsn,,0.9540759325027466,0.9698981046676636,,0.9619870185852051
ewe,0.9494799375534058,,0.962323784828186,,0.9609476583344596
nya,,0.9525124430656433,0.9682982563972473,,0.9604053497314453
wol,,0.9564428925514221,0.9585919380187988,,0.9575174152851105
bbj,,0.9410701990127563,0.9700061678886414,,0.9555381834506989
xho,0.9473330974578857,0.9518066644668579,,,0.9513273537158966
zul,,0.9498881697654724,,,0.9498881697654724
kin,,0.9261075258255005,0.9620375037193298,,0.9440725147724152
yor,,0.9073531627655029,0.9701522588729858,,0.9387527108192444
