,DATE,LOC,PER,ORG,Mean
swa,0.73771393,0.81627274,0.8995776,0.840157,0.8234303
lug,0.7086811,0.79040265,0.95311725,0.84101593,0.8233042
kin,0.6885328,0.7938955,0.9082978,0.9012042,0.82298255
sna,0.73430413,0.77711475,0.8557136,0.9227026,0.82245874
hau,0.71096724,0.7849412,0.9021449,0.8726376,0.8176727
ewe,0.70623,0.77806187,0.90161824,0.8841602,0.8175176
pcm,0.7332749,0.7679277,0.8806859,0.8798995,0.815447
luo,0.66989255,0.7607733,0.9214064,0.9015175,0.8133974
wol,0.67478096,0.8471966,0.8928069,0.8335305,0.8120787
ibo,0.6743704,0.77603984,0.9195483,0.876353,0.81157786
mos,0.68237084,0.7383333,0.90585315,0.8647608,0.7978295
xho,0.8312171,0.8545106,0.78016883,0.72260886,0.79712635
bbj,0.6845111,0.77249956,0.895675,0.82826257,0.79523706
twi,0.6883642,0.7555448,0.82429814,0.9054538,0.7934152
tsn,0.71352893,0.8222679,0.8400409,0.790218,0.7915139
zul,0.8247748,0.8007806,0.75368744,0.7753765,0.78865486
nya,0.69223946,0.76570165,0.7435154,0.90618783,0.7769111
bam,0.69356054,0.74695563,0.8961556,0.7563119,0.77324593
yor,0.7068877,0.76857525,0.7807481,0.8296981,0.7714773
fon,0.67213726,0.7433595,0.8526031,0.81310266,0.7703006
