,1,2,3,4,5,6,7,8,9,10,11,12
bam,0.9980120211839676,0.9999728053808212,0.9999953955411911,0.999999076128006,0.9999852478504181,0.999999463558197,0.999991238117218,0.9999244213104248,0.9998015761375427,0.9990692933400472,0.9909550746281943,0.8130497137705485
bbj,0.9985218495130539,0.9999577850103378,0.9999931305646896,0.9999981075525284,0.9999758005142212,0.9999992102384567,0.9999917447566986,0.9999328404664993,0.9997436553239822,0.9979345003763834,0.9905986785888672,0.7064147790273031
ewe,0.9980972856283188,0.9999641478061676,0.9999941438436508,0.9999985992908478,0.9999881386756897,0.9999996423721313,0.9999895840883255,0.9999368786811829,0.9997873455286026,0.998798648516337,0.9926481048266093,0.8325268427530924
fon,0.997014582157135,0.9999623596668243,0.9999935328960419,0.9999984949827194,0.9999793767929077,0.9999992996454239,0.9999917894601822,0.9999178498983383,0.9997710734605789,0.9987610379854838,0.9897913535435995,0.764997144540151
hau,0.9952767789363861,0.9999393075704575,0.9999913424253464,0.9999973624944687,0.9999809414148331,0.9999994933605194,0.9999890923500061,0.9998522251844406,0.9995674788951874,0.998449961344401,0.9877821803092957,0.8146831393241882
ibo,0.9984675943851471,0.9999854564666748,0.9999974220991135,0.9999991357326508,0.9999885261058807,0.999999612569809,0.9999944418668747,0.9999492764472961,0.9998348504304886,0.9993857741355896,0.993303656578064,0.8700594703356425
kin,0.9986872971057892,0.9999843239784241,0.9999968260526658,0.9999989420175552,0.9999878108501433,0.9999996423721313,0.9999912977218628,0.9999182373285294,0.9997801035642624,0.9990787307421366,0.9919557372728983,0.8906647562980652
lug,0.9986538290977478,0.9999839067459106,0.9999972432851791,0.9999991953372955,0.999992161989212,0.9999997913837433,0.9999938011169434,0.9999358803033829,0.9997573792934418,0.9995927810668945,0.9971155921618143,0.9713033239046732
luo,0.9985625296831131,0.9999736249446869,0.9999952465295792,0.9999984800815582,0.9999871104955673,0.999999612569809,0.9999912977218628,0.9999380707740784,0.999719426035881,0.9993374546368917,0.9943394064903259,0.8796634475390116
mos,0.998611643910408,0.9999812841415405,0.9999952018260956,0.9999985247850418,0.9999791383743286,0.9999992996454239,0.999990701675415,0.999920591711998,0.9998337775468826,0.9989769657452902,0.9929342269897461,0.80490775903066
nya,0.9986688941717148,0.9999824613332748,0.9999960660934448,0.9999987632036209,0.999989852309227,0.9999996721744537,0.9999924898147583,0.9999499171972275,0.9998012036085129,0.9991557796796163,0.9896695415178934,0.8683995008468628
pcm,0.9920248985290527,0.9999069273471832,0.9999835789203644,0.9999951422214508,0.9999725520610809,0.9999991953372955,0.9999769777059555,0.999733328819275,0.9987304359674454,0.998201330502828,0.9921716650327047,0.8471473256746928
sna,0.9992303252220154,0.9999900162220001,0.9999974817037582,0.9999990165233612,0.9999879598617554,0.9999996125698088,0.9999923855066299,0.999934196472168,0.9998183101415634,0.9989296595255533,0.9906157056490582,0.8201521436373392
swa,0.9901095479726791,0.9999010115861893,0.9999860227108002,0.9999957680702211,0.9999799281358719,0.9999993443489075,0.9999819695949554,0.9997790604829788,0.9994481056928635,0.9986880819002787,0.9888105789820353,0.8402750690778097
tsn,0.9977838546037674,0.9999672025442123,0.9999929517507553,0.9999975860118866,0.9999898821115494,0.9999996423721313,0.9999915510416031,0.9999200403690338,0.9997112154960632,0.9990767041842142,0.9927185773849487,0.8583530982335409
twi,0.9983064383268356,0.9999823421239853,0.9999962896108627,0.9999990612268448,0.9999900013208389,0.9999996870756148,0.9999902993440628,0.9999093860387802,0.9998173266649246,0.9993993043899536,0.9936562776565552,0.8572996457417806
wol,0.9990020543336868,0.9999887943267822,0.9999963641166687,0.9999991208314896,0.9999795109033585,0.9999993592500687,0.9999913573265076,0.9999188631772995,0.9997266530990601,0.9990309874216715,0.992012639840444,0.8455047607421875
xho,0.9986016303300858,0.9999787956476212,0.9999970346689224,0.9999989867210388,0.9999839961528778,0.9999995976686478,0.9999942928552628,0.9999561607837677,0.999791830778122,0.9987392425537109,0.9891190926233927,0.8335984547932943
yor,0.9985581487417221,0.9999755471944809,0.9999958723783493,0.9999988079071045,0.9999796897172928,0.9999992549419403,0.9999926537275314,0.9999344050884247,0.9998131394386292,0.9978751142819723,0.9865800340970358,0.7007995247840881
zul,0.998701885342598,0.999987781047821,0.9999971091747284,0.9999990314245224,0.9999845325946808,0.999999538064003,0.9999923408031464,0.9999523907899857,0.999809518456459,0.9992517828941345,0.9871283570925394,0.8453425566355387
