language,f1
bam,0.410
bbj,0.052
ewe,0.389
fon,0.487
hau,0.577
ibo,0.481
kin,0.619
lug,0.622
luo,0.447
mos,0.355
pcm,0.387
nya,0.576
sna,0.483
swa,0.584
tsn,0.452
twi,0.527
wol,0.464
xho,0.396
yor,0.475
zul,0.515
