,PER,DATE,LOC,ORG,Mean
nya,,,,0.9984177947044373,0.9984177947044373
wol,,,,0.998099684715271,0.998099684715271
bbj,,,,0.9980108141899109,0.9980108141899109
ibo,,,0.9976410269737244,0.9983786344528198,0.9980098307132721
tsn,,,0.9977409839630127,0.997967004776001,0.9978539943695068
kin,,,,0.9977683424949646,0.9977683424949646
mos,0.9921982288360596,,,0.9984360337257385,0.9977676974875587
ewe,0.992090106010437,,,0.9982374906539917,0.9975788422993251
zul,,,0.9974355697631836,,0.9974355697631836
sna,0.9886747002601624,,0.9984351396560669,,0.99738937829222
pcm,0.9913722276687622,,0.9980920553207397,,0.9973720737865993
bam,,,,0.997361958026886,0.997361958026886
xho,0.992820680141449,,0.9978364706039429,,0.9972990644829614
yor,,,0.9960653185844421,0.998093843460083,0.9970795810222626
luo,0.99254310131073,,,0.9970863461494446,0.9965995699167252
lug,0.989183247089386,,,0.9972315430641174,0.9963692256382534
twi,0.9934614300727844,,,,0.9934614300727844
swa,0.9925957918167114,,,,0.9925957918167114
fon,0.9925141930580139,,,,0.9925141930580139
hau,0.9919771552085876,,,0.9892829060554504,0.9895715756075723
