,ORG,LOC,PER,DATE,Mean
lug,0.7008321,0.75290763,0.6062834,0.6728184,0.68321043
kin,0.6894402,0.72660124,0.59523016,0.6786911,0.67249066
nya,0.6938247,0.7043184,0.5994899,0.66467994,0.66557825
sna,0.6803776,0.6965325,0.5946319,0.6883529,0.66497374
xho,0.6716763,0.67886686,0.5729721,0.6921581,0.6539184
tsn,0.67638177,0.65479064,0.5847541,0.65966356,0.64389753
zul,0.6468215,0.67276204,0.59264916,0.651619,0.6409629
luo,0.65311545,0.6754863,0.58786243,0.6430618,0.63988155
hau,0.63232243,0.63512886,0.5883455,0.6648172,0.63015354
wol,0.64579815,0.6464977,0.58741915,0.6345781,0.6285733
swa,0.64030224,0.634974,0.583605,0.6311149,0.62249905
ibo,0.6131087,0.6560708,0.58754843,0.6161146,0.6182107
twi,0.6433556,0.622911,0.5831563,0.6050931,0.613629
bam,0.6029557,0.6215067,0.5801517,0.6422628,0.61171925
ewe,0.62297636,0.6158474,0.5710476,0.6108081,0.6051699
mos,0.6261079,0.59387743,0.5832438,0.6117953,0.60375607
yor,0.5906722,0.5863938,0.56263644,0.57759416,0.5793241
pcm,0.5843351,0.58037543,0.56317,0.5553372,0.5708044
fon,0.5814619,0.57226413,0.5591346,0.52273715,0.55889946
bbj,0.5464254,0.51576746,0.5513083,0.55126816,0.54119235
