,LOC,PER,ORG,DATE,Mean
nya,0.9891735776421738,0.9610652366149985,0.9860009783453131,0.9738232484239794,0.9775157602566162
lug,0.9824666291213666,0.9548910112257012,0.9863385094668933,0.9808933158676171,0.9761473664203945
sna,0.9896666536783816,0.9420850109599371,0.9858677117107191,0.9792485894705436,0.9742169914548954
kin,0.9871910055615578,0.9499327306272928,0.9761239016528588,0.9831256125124571,0.9740933125885416
hau,0.9860965541033563,0.9532758474693872,0.9780739604231664,0.9775369085477484,0.9737458176359146
ibo,0.9854013435184038,0.9562237616595882,0.9661137050510001,0.986741744031135,0.9736201385650318
twi,0.9804123336713114,0.9496516780519894,0.9841496269507686,0.9734651317543713,0.9719196926071102
zul,0.9843477813981931,0.9448843800817386,0.980228476663832,0.9769477736321222,0.9716021029439714
luo,0.9867839547957205,0.9489691966596795,0.9742009130265112,0.9757111553251613,0.9714163049517681
xho,0.987219303310536,0.9314355358169359,0.9798868243977868,0.9811765986028899,0.9699295655320372
wol,0.9797402381515283,0.9491654023868488,0.974812916032338,0.970340461734186,0.9685147545762254
tsn,0.9752515813688981,0.9374498952902343,0.9778812163120264,0.9783930433023381,0.9672439340683743
bam,0.9801857156776593,0.9516036448551882,0.9536244483848645,0.9770866561526729,0.9656251162675963
mos,0.9823943880242377,0.9451926966988532,0.9738359723324393,0.9596115342616399,0.9652586478292926
yor,0.9681366464518447,0.9490998369218442,0.9609072451434089,0.9630516357924759,0.9602988410773934
ewe,0.962037805349222,0.9464261729517739,0.9603098304628023,0.9679337178264549,0.9591768816475632
swa,0.9662723957756826,0.9387010153503469,0.95600152575897,0.9591015345298257,0.9550191178537063
bbj,0.9517481161296397,0.9502894960570658,0.9585322068225799,0.9556163438852049,0.9540465407236225
fon,0.9722539409213485,0.9314924958983059,0.9625506734780649,0.9418541068862591,0.9520378042959946
pcm,0.9519785354238998,0.932963790518701,0.9464415372991009,0.9200282477312698,0.9378530277432429
