,DATE,PER,LOC,ORG
bam,,0.9785419702529907,0.9731451869010925,0.9588118195533752
bbj,,0.9788822531700134,0.9458687901496887,0.9719927310943604
ewe,,0.976129412651062,0.9609574675559998,0.9760751724243164
fon,,0.9556169509887695,0.9661696553230286,0.9753186106681824
hau,,0.9843732714653015,0.9769906997680664,0.9815307259559631
ibo,,0.9894365072250366,0.9777789115905762,0.9755274057388306
kin,,0.9893045425415039,0.982483446598053,0.9840588569641113
lug,,0.9899434447288513,0.9759427309036255,0.9865245819091797
luo,,0.9849741458892822,0.9764618277549744,0.9720866680145264
mos,,0.9817994832992554,0.9770311117172241,0.9808641672134399
nya,,0.9867240190505981,0.9700962901115417,0.984424889087677
pcm,,0.9749438762664795,0.9433425664901733,0.945181667804718
sna,,0.9801879525184631,0.985765814781189,0.9887710809707642
swa,,0.9835337996482849,0.973933219909668,0.9649443030357361
tsn,,0.9746111035346985,0.9616884589195251,0.9673048853874207
twi,,0.9852198958396912,0.9812002182006836,0.9841418862342834
wol,,0.9759410619735718,0.9772318601608276,0.9767897129058838
xho,,0.9615455269813538,0.9806044101715088,0.9862959980964661
yor,,0.9703921675682068,0.9492555260658264,0.9694650173187256
zul,,0.9814496636390686,0.9665236473083496,0.9915956854820251
