,PER,DATE,ORG,LOC,Mean
kin,0.99442625,0.99933636,0.9992762,0.9987037,0.99793565
lug,0.99468654,0.99924606,0.9993529,0.9984264,0.99792796
nya,0.9943464,0.99892795,0.99927264,0.99838084,0.997732
luo,0.9944932,0.9990611,0.9988899,0.99841815,0.9977156
sna,0.99327326,0.9991547,0.9991193,0.9986854,0.9975581
tsn,0.99425316,0.9990844,0.9990518,0.9976654,0.9975137
twi,0.9945423,0.99863636,0.9989204,0.9978507,0.9974874
ibo,0.99393326,0.9990798,0.99846447,0.998277,0.9974386
wol,0.9935123,0.99913204,0.9986836,0.9983349,0.99741566
swa,0.99522513,0.9979199,0.9985209,0.9979549,0.9974052
xho,0.9940958,0.99850696,0.99866706,0.9982664,0.9973841
zul,0.9938165,0.9986251,0.99871755,0.9979297,0.99727225
ewe,0.99428564,0.9984038,0.998749,0.9975392,0.9972444
pcm,0.99469465,0.9973209,0.99871993,0.99812776,0.9972158
mos,0.9940807,0.9977248,0.9986625,0.997757,0.99705625
hau,0.994572,0.9968412,0.99856144,0.9979292,0.9969759
bam,0.9937525,0.9980866,0.997935,0.99797505,0.9969373
yor,0.99366707,0.99838656,0.99795604,0.9971623,0.99679303
fon,0.9941592,0.99654585,0.99842554,0.9970978,0.99655706
bbj,0.99399877,0.99749345,0.997683,0.9968869,0.9965156
