,DATE,PER,LOC,ORG
bam,0.9741477370262146,0.9903874397277832,0.9687343239784241,0.9598827958106995
bbj,0.9687862992286682,0.9885145425796509,0.9504570364952087,0.9876580238342285
ewe,0.9686551094055176,0.9846811890602112,0.9744949340820312,0.9920206665992737
fon,0.9670615792274475,0.9843810200691223,0.9631629586219788,0.987492024898529
hau,0.9644395112991333,0.988346517086029,0.9412276148796082,0.979331374168396
ibo,0.9903461933135986,0.9921741485595703,0.9581401944160461,0.991234540939331
kin,0.9849266409873962,0.985516369342804,0.9883784055709839,0.9926764965057373
lug,0.9614915251731873,0.9874573945999146,0.9861472249031067,0.973554790019989
luo,0.985737144947052,0.9836355447769165,0.9831805229187012,0.9861277937889099
mos,0.9632392525672913,0.9848894476890564,0.9698315858840942,0.990493893623352
nya,0.9686585068702698,0.9858999848365784,0.963512122631073,0.988892674446106
pcm,0.9282069802284241,0.9894019365310669,0.9840632081031799,0.9772813320159912
sna,0.9747055768966675,0.9889086484909058,0.9652498960494995,0.9861576557159424
swa,0.9407241344451904,0.9843493103981018,0.9913769364356995,0.9786788821220398
tsn,0.9820722937583923,0.9850395917892456,0.9770943522453308,0.9831891059875488
twi,0.9810634851455688,0.9894664883613586,0.9876080751419067,0.994527280330658
wol,0.9838186502456665,0.9911597371101379,0.958591878414154,0.9884322285652161
xho,0.9857282042503357,0.9838575124740601,0.9630799293518066,0.9845666885375977
yor,0.9763009548187256,0.9839635491371155,0.9535297751426697,0.9914917349815369
zul,0.9823166728019714,0.9869416952133179,0.9666386842727661,0.988240659236908
