,DATE,ORG,PER,LOC
bam,0.8144094347953796,0.7161117196083069,0.860074520111084,0.799161970615387
bbj,0.7017360925674438,0.7762483954429626,0.9034520387649536,0.5871472954750061
ewe,0.6050405502319336,0.8479082584381104,0.9002724885940552,0.8678380846977234
fon,0.7412549257278442,0.83248370885849,0.8856996893882751,0.7211882472038269
hau,0.8883978128433228,0.8672362565994263,0.8834007382392883,0.7072020173072815
ibo,0.9108405709266663,0.8909924030303955,0.8916714787483215,0.781219482421875
kin,0.9018075466156006,0.9023004770278931,0.8981030583381653,0.9275056719779968
lug,0.8221475481987,0.8533177375793457,0.977326512336731,0.9133565425872803
luo,0.8613141775131226,0.8675863742828369,0.905522346496582,0.8954805731773376
mos,0.6318954229354858,0.8205931782722473,0.8789735436439514,0.7734286189079285
nya,0.8727499842643738,0.9084826707839966,0.916045069694519,0.86952143907547
pcm,0.6446014642715454,0.8292542695999146,0.9135332107543945,0.8867276906967163
sna,0.8966479897499084,0.8895668983459473,0.9088087677955627,0.7898297309875488
swa,0.8005093336105347,0.8370324373245239,0.8777815103530884,0.9355862736701965
tsn,0.8892042636871338,0.8640061616897583,0.8671818375587463,0.8505094051361084
twi,0.8125186562538147,0.9110063314437866,0.9177886843681335,0.8995397686958313
wol,0.8732039332389832,0.8757595419883728,0.8846638798713684,0.7486891150474548
xho,0.904592752456665,0.8720957636833191,0.8733500242233276,0.686037540435791
yor,0.7239152789115906,0.7948641180992126,0.7272160649299622,0.5897315144538879
zul,0.881286084651947,0.9024858474731445,0.8336913585662842,0.7997145652770996
