,DATE,PER,ORG,LOC,Mean
kin,0.9202484,0.77690053,0.9438598,0.94520736,0.89655405
lug,0.87951887,0.74065566,0.95451,0.9802785,0.8887408
luo,0.88981533,0.7608563,0.955086,0.9392483,0.8862515
twi,0.88571376,0.7538304,0.9532873,0.92726904,0.8800251
swa,0.8528632,0.75724065,0.9577508,0.9332555,0.8752775
ibo,0.9281117,0.73849547,0.93781585,0.89155245,0.8739939
tsn,0.8980224,0.77627337,0.9507145,0.83034813,0.8638396
nya,0.86130005,0.7474375,0.9540542,0.86480725,0.85689974
wol,0.8954815,0.76457244,0.93257654,0.8024456,0.848769
sna,0.9454964,0.6667471,0.9336723,0.82732254,0.8433095
hau,0.91502273,0.74770486,0.9189608,0.79084134,0.84313244
fon,0.8578682,0.7518119,0.93750477,0.82466114,0.84296155
bam,0.84697074,0.7277018,0.8978685,0.89646596,0.8422517
ewe,0.7529477,0.7466421,0.9369505,0.92860055,0.8412852
xho,0.96711224,0.77406824,0.8671384,0.75288737,0.8403015
zul,0.89325833,0.71190333,0.9196038,0.8341478,0.83972836
pcm,0.69644284,0.7490282,0.9298141,0.9151588,0.822611
mos,0.7551373,0.73707163,0.9387153,0.814741,0.81141627
bbj,0.7812995,0.76343817,0.8893775,0.7115326,0.7864119
yor,0.83283746,0.6603691,0.81576806,0.6543716,0.7408365
