,ORG,LOC,PER,DATE,Mean
lug,0.9926599,0.99642295,0.9665607,0.9878962,0.98588496
kin,0.98966557,0.9951081,0.95860785,0.98965776,0.9832598
nya,0.99103594,0.9926585,0.96108,0.9860908,0.9827163
sna,0.98772335,0.99131775,0.95937574,0.990794,0.9823027
zul,0.98217654,0.98579407,0.95951736,0.98241454,0.9774756
xho,0.98663473,0.98842525,0.9411907,0.99160457,0.9769638
tsn,0.987023,0.9826096,0.95051867,0.98484766,0.9762497
luo,0.9806419,0.989241,0.95475984,0.9800055,0.9761621
wol,0.9801744,0.9814236,0.95627964,0.9773454,0.9738058
hau,0.976472,0.9765333,0.9554653,0.9854464,0.9734793
swa,0.97914743,0.9771435,0.9516951,0.9761584,0.97103614
ibo,0.9676819,0.9843575,0.95386773,0.96933246,0.9688099
twi,0.98072135,0.9742681,0.95152843,0.9644865,0.96775115
bam,0.9620385,0.9711672,0.94966006,0.9793868,0.9655632
ewe,0.97229195,0.9694592,0.94094586,0.96791154,0.96265215
mos,0.97305655,0.95606124,0.9496948,0.9654171,0.9610574
yor,0.9562733,0.9499831,0.93597543,0.94916004,0.94784796
pcm,0.94910985,0.951053,0.93610096,0.92613494,0.9405997
fon,0.944913,0.9374236,0.93333393,0.8863688,0.9255098
bbj,0.926038,0.87853634,0.9256014,0.92495954,0.9137838
