,ORG,LOC,DATE,PER,Mean
twi,0.9803587794303894,0.9465966820716858,,0.9724096655845642,0.9664550423622131
ewe,0.9717334508895874,0.9545374512672424,,0.957607090473175,0.9612926642100016
tsn,0.9663224816322327,0.9355552792549133,,0.9738293290138245,0.9585690299669901
sna,0.9647716283798218,0.9417353272438049,,0.9677659869194031,0.9580909808476766
lug,0.9535496234893799,0.9560410976409912,,0.9641880989074707,0.9579262733459473
zul,0.9685822129249573,0.9417701363563538,,0.9618345499038696,0.9573956330617269
nya,0.9660285115242004,0.9332228302955627,,0.9727161526679993,0.9573224981625875
pcm,0.937902569770813,0.9476927518844604,,0.9758955836296082,0.9538303017616272
ibo,0.9740734696388245,0.9181351661682129,,0.9671847224235535,0.9531311194101969
wol,0.96174556016922,0.9304713606834412,,0.9657034873962402,0.9526401360829672
luo,0.9468567371368408,0.9460809826850891,,0.9632739424705505,0.9520705540974935
mos,0.9712182283401489,0.9183814525604248,,0.9663891792297363,0.9519962867101034
fon,0.9706525206565857,0.9185503721237183,,0.9635101556777954,0.9509043494860331
kin,0.9467000365257263,0.9402005076408386,,0.9639947414398193,0.9502984285354614
xho,0.9631607532501221,0.9346588253974915,,0.9493887424468994,0.9490694403648376
swa,0.9284043908119202,0.9447879791259766,,0.96330326795578,0.945498545964559
hau,0.9597992300987244,0.9133621454238892,,0.9585423469543457,0.9439012408256531
bbj,0.9672943949699402,0.8927512764930725,,0.9671005010604858,0.9423820575078329
bam,0.941169261932373,0.9341772198677063,,0.9514314532279968,0.9422593116760254
yor,0.9495272040367126,0.8895003795623779,,0.9508262276649475,0.9299512704213461
