,PER,DATE,LOC,ORG
bam,0.9886586666107178,,0.9672846794128418,0.9668260812759399
bbj,0.9866083860397339,,0.9470232725143433,0.986891508102417
ewe,0.9845283031463623,,0.973863959312439,0.9902963042259216
fon,0.9819919466972351,,0.9576826691627502,0.987817645072937
hau,0.9858139157295227,,0.9475603699684143,0.9773645997047424
ibo,0.9916247129440308,,0.9464625716209412,0.9890325665473938
kin,0.9849091172218323,,0.9857292175292969,0.9924136996269226
lug,0.9817639589309692,,0.9860294461250305,0.9754562973976135
luo,0.9838108420372009,,0.9813916683197021,0.9852429032325745
mos,0.9827894568443298,,0.9635839462280273,0.9894644618034363
nya,0.9920573830604553,,0.9602758884429932,0.9896118640899658
pcm,0.9837188124656677,,0.9828633069992065,0.9706609845161438
sna,0.9771593809127808,,0.9625516533851624,0.978416919708252
swa,0.9815940856933594,,0.9859994649887085,0.9750757813453674
tsn,0.9826406836509705,,0.9770761132240295,0.9809024930000305
twi,0.9876531362533569,,0.9858806729316711,0.9937904477119446
wol,0.9895877242088318,,0.9465435743331909,0.9846363067626953
xho,0.9661796689033508,,0.959278404712677,0.9816780686378479
yor,0.9814963936805725,,0.9502538442611694,0.9817442297935486
zul,0.9813841581344604,,0.968114972114563,0.9873218536376953
