,DATE,PER,ORG,LOC
bam,,0.9997208118438721,0.9949448704719543,0.996604323387146
bbj,,0.9994552135467529,0.9973958134651184,0.9970353245735168
ewe,,0.996677815914154,0.9972649812698364,0.9923967719078064
fon,,0.9867783784866333,0.9955155253410339,0.9910117387771606
hau,,0.9996758103370667,0.9989348649978638,0.9962973594665527
ibo,,0.9996680617332458,0.9953319430351257,0.996505081653595
kin,,0.9998297095298767,0.9971796870231628,0.9979328513145447
lug,,0.9999067783355713,0.9975758194923401,0.9991364479064941
luo,,0.9990923404693604,0.9973576068878174,0.9986359477043152
mos,,0.9995352625846863,0.9982991814613342,0.9991477727890015
nya,,0.9958510398864746,0.9980421662330627,0.9969357252120972
pcm,,0.9997663497924805,0.9991380572319031,0.9996281266212463
sna,,0.9993540048599243,0.9996769428253174,0.9985537528991699
swa,,0.999530553817749,0.9974505305290222,0.9982068538665771
tsn,,0.9987592697143555,0.9977381825447083,0.9970142841339111
twi,,0.9989161491394043,0.9985888600349426,0.9971165657043457
wol,,0.9991893768310547,0.9960950613021851,0.9959452748298645
xho,,0.9976891279220581,0.9886872172355652,0.9905843138694763
yor,,,0.998956024646759,0.9918429255485535
zul,,0.9941626191139221,0.9883162379264832,0.9623133540153503
