,DATE,LOC,ORG,PER
bam,,0.9565802216529846,0.9630785584449768,
bbj,,0.9099467992782593,0.9759737849235535,
ewe,,,0.9731862545013428,0.9781492948532104
fon,,0.9322651028633118,0.9840893149375916,0.9683395624160767
hau,,,0.9772140383720398,0.9888291358947754
ibo,,0.9408837556838989,0.9769629836082458,
kin,,0.9078464508056641,0.9737027883529663,
lug,,,0.9843468070030212,0.9717268347740173
luo,,,0.97502601146698,0.9812366962432861
mos,,,0.9771500825881958,0.9736545085906982
nya,,0.9314320087432861,0.9785385131835938,
pcm,,0.9723151922225952,,0.9895461201667786
sna,,0.941782534122467,,0.9835078716278076
swa,,0.9731214046478271,,0.9861355423927307
tsn,,0.9311079978942871,0.9797887206077576,
twi,,0.9680863618850708,0.9891049265861511,0.9917787313461304
wol,,0.9380415678024292,0.9717803597450256,
xho,,0.9270150661468506,,0.9519920945167542
yor,,0.8713262677192688,0.9786362051963806,
zul,,0.9228579998016357,,
