,ORG,DATE,PER,LOC
bam,0.8906587958335876,0.8924582004547119,0.942255437374115,0.8077204823493958
bbj,0.9383372068405151,0.8569009900093079,0.9280624985694885,0.7518051862716675
ewe,0.9571047425270081,0.8867043852806091,0.9369398951530457,0.8537660837173462
fon,0.9448304772377014,0.845876157283783,0.9302852153778076,0.7321315407752991
hau,0.910993218421936,0.8454614281654358,0.9346299767494202,0.7692170143127441
ibo,0.9636774063110352,0.942861020565033,0.9460338354110718,0.8588234186172485
kin,0.968599259853363,0.9341816306114197,0.9405354261398315,0.922092854976654
lug,0.869861900806427,0.8962352275848389,0.9836587905883789,0.9215993881225586
luo,0.9505762457847595,0.9144034385681152,0.9397013783454895,0.8797909617424011
mos,0.9450717568397522,0.8055537939071655,0.9466710686683655,0.80660480260849
nya,0.9623259902000427,0.9003443121910095,0.9303821325302124,0.8485910892486572
pcm,0.9069558382034302,0.7684140205383301,0.9479274749755859,0.8653367161750793
sna,0.9517516493797302,0.9402278065681458,0.937860369682312,0.8484623432159424
swa,0.9027743339538574,0.7810320854187012,0.9233720898628235,0.9002457857131958
tsn,0.9483653903007507,0.9303131699562073,0.9422904849052429,0.8480017781257629
twi,0.9688495397567749,0.9078897833824158,0.9480194449424744,0.9044480919837952
wol,0.9425290822982788,0.9309740662574768,0.9482486844062805,0.7894154191017151
xho,0.9366441965103149,0.9264548420906067,0.9210779666900635,0.7813162803649902
yor,0.9374945759773254,0.8800235390663147,0.9014436602592468,0.7530818581581116
zul,0.9619156122207642,0.9280896186828613,0.9145084619522095,0.833041787147522
