,DATE,PER,LOC,ORG,Mean
luo,0.9988187,0.98962873,0.9992991,0.9996361,0.99684566
twi,0.9991076,0.9892592,0.9990914,0.9996385,0.9967742
kin,0.9991532,0.9889302,0.9992019,0.9996503,0.99673384
lug,0.99903494,0.9883098,0.99971646,0.9996556,0.9966792
ewe,0.9982338,0.9903784,0.99844766,0.9994558,0.9966289
tsn,0.99887,0.98944646,0.99893546,0.9992201,0.99661803
ibo,0.99928504,0.98884976,0.99863183,0.9995817,0.99658716
swa,0.99776983,0.989304,0.9991851,0.99960274,0.99646544
pcm,0.9974717,0.98985136,0.9989048,0.9995378,0.9964415
nya,0.99883497,0.988745,0.998352,0.9996784,0.99640256
sna,0.99907106,0.9883149,0.998428,0.99946314,0.9963193
fon,0.9981096,0.98966825,0.9981589,0.9993064,0.9963108
wol,0.9988687,0.98888004,0.9979923,0.99934,0.9962703
hau,0.99881047,0.98921716,0.9977158,0.9992765,0.9962549
xho,0.9994136,0.9885065,0.9981793,0.9988694,0.99624217
yor,0.99900204,0.9886598,0.99788374,0.9989869,0.99613315
bbj,0.9985245,0.98911315,0.99773276,0.9991415,0.99612796
zul,0.9987137,0.98766977,0.99845475,0.99938387,0.99605554
mos,0.9985367,0.9887896,0.9972933,0.9993865,0.99600154
bam,0.9984641,0.98820525,0.99789166,0.9987772,0.9958345
