,LOC,ORG,PER,DATE,Mean
kin,0.9882624270522238,0.9936673489864554,0.9891497729926474,0.9883758496780685,0.9898638496773488
twi,0.9824411296106352,0.9939518436468464,0.9945235801174074,0.9840625850006971,0.9887447845938965
nya,0.9795670126756377,0.9946646477943064,0.9919416681718846,0.9824708786003503,0.9871610518105448
sna,0.9770136587190152,0.992905184817436,0.9903037458346972,0.9881469620012279,0.987092387843094
luo,0.9833910824589416,0.990219081283969,0.9922089303205914,0.9818514193991826,0.9869176283656712
lug,0.9878294475234862,0.9789339863683022,0.9968829890808381,0.982107958095502,0.9864385952670321
ibo,0.9780938762482126,0.9879895365359344,0.9917026585102419,0.98424275447624,0.9855072064426573
tsn,0.9724761346677039,0.9900447680837593,0.9909922303002963,0.9850661895332945,0.9846448306462635
ewe,0.9742881164320315,0.9918038516615952,0.9929604069056884,0.9780130487871684,0.9842663559466208
zul,0.9766051333763053,0.9910508561549084,0.9889102588878048,0.979389319988497,0.9839888921018788
swa,0.9870585816916435,0.9845166279594402,0.9930120411246647,0.9658268450203001,0.9826035239490122
wol,0.9660832799530994,0.9893742739534145,0.9912536620402662,0.9833354411549773,0.9825116642754393
xho,0.9680006439248907,0.987427630824764,0.9894450319790569,0.984313716419106,0.9822967557869544
mos,0.958340224822995,0.991206802932777,0.9929660352168566,0.9784455983080783,0.9802396653201767
bam,0.965201912605716,0.9812397553496792,0.9918840911292642,0.9752420842014218,0.9783919608215204
hau,0.9659171986110578,0.9863559823951091,0.9925107565123812,0.9603163651853108,0.9762750756759648
pcm,0.983175303885481,0.9815780517816405,0.9946696247610259,0.9414555992314912,0.9752196449149098
yor,0.9473371308385846,0.9910485009988076,0.986334414360934,0.9743776465600933,0.9747744231896049
fon,0.9539183811323162,0.9888316988833235,0.9915203747464635,0.9523783212131339,0.9716621939938093
bbj,0.9451408320997421,0.9815578110343908,0.9922049404806079,0.9588418017439195,0.9694363463396651
