,ORG,LOC,DATE,PER
bam,0.9914712905883789,,,
bbj,0.9966157674789429,,,
ewe,0.994218111038208,,,0.9902681112289429
fon,,,,0.9754304885864258
hau,0.9992901086807251,,,0.9996157288551331
ibo,0.9995051622390747,0.9977925419807434,,
kin,0.9987556338310242,,,
lug,0.9961257576942444,,,0.9975766539573669
luo,0.9987326264381409,,,0.9988962411880493
mos,0.996545135974884,,,0.9977976679801941
nya,0.9969700574874878,,,
pcm,,0.9994943141937256,,0.9992322325706482
sna,,0.9989059567451477,,0.9967837333679199
swa,,,,0.9960118532180786
tsn,0.9995962977409363,0.9982473850250244,,
twi,,,,0.9974460601806641
wol,0.9984888434410095,,,
xho,,0.9895558953285217,,0.9933236837387085
yor,0.998755693435669,0.994257926940918,,
zul,,0.9895451664924622,,
