,LOC,PER,ORG,DATE
bam,0.9999902844429016,0.9999939203262329,0.9999833703041077,0.9999881386756897
bbj,0.9999909996986389,0.9999911785125732,0.9999909996986389,0.9999865889549255
ewe,0.9999912977218628,0.9999914169311523,0.9999853372573853,0.9999853372573853
fon,0.9999894499778748,0.999988853931427,0.999983549118042,0.9999860525131226
hau,0.9999911785125732,0.9999912977218628,0.9999897480010986,0.9999868273735046
ibo,0.9999959468841553,0.9999945759773254,0.9999809861183167,0.999994158744812
kin,0.9999963045120239,0.9999967217445374,0.9999921321868896,0.9999971985816956
lug,0.9999922513961792,0.9999982118606567,0.9999954104423523,0.9999976754188538
luo,0.9999931454658508,0.9999930262565613,0.9999849200248718,0.9999956488609314
mos,0.9999945163726807,0.9999950528144836,0.9999918341636658,0.999987781047821
nya,0.9999963641166687,0.9999962449073792,0.9999912977218628,0.9999935626983643
pcm,0.9999841451644897,0.9999889731407166,0.9999710321426392,0.9999569058418274
sna,0.9999958872795105,0.9999971389770508,0.9999953508377075,0.9999951720237732
swa,0.9999894499778748,0.9999901652336121,0.9999696612358093,0.9999785423278809
tsn,0.9999939203262329,0.9999945759773254,0.9999850392341614,0.9999947547912598
twi,0.9999887347221375,0.9999943375587463,0.9999858140945435,0.9999887347221375
wol,0.9999955892562866,0.9999955296516418,0.9999860525131226,0.9999943971633911
xho,0.9999966025352478,0.9999955892562866,0.9999915361404419,0.9999964237213135
yor,0.9999902844429016,0.9999910593032837,0.9999880790710449,0.9999887943267822
zul,0.9999939203262329,0.9999961853027344,0.9999926090240479,0.9999949932098389
