,LOC,PER,ORG,DATE,Mean
lug,0.97416556,0.97804296,0.96751106,0.9265963,0.96157897
kin,0.9468368,0.95433426,0.9477798,0.9209109,0.9424654
nya,0.90848553,0.94662744,0.9249402,0.8969465,0.9192499
xho,0.9155693,0.888036,0.9255893,0.93312645,0.9155803
sna,0.91712385,0.89956754,0.91904604,0.9225014,0.91455966
luo,0.90939444,0.94436586,0.9064772,0.86642617,0.9066659
zul,0.89398366,0.9173976,0.89898574,0.86300904,0.89334404
tsn,0.8521676,0.92985785,0.913563,0.8722366,0.8919563
wol,0.8728236,0.90894,0.90011346,0.8330635,0.8787352
twi,0.84914553,0.9329053,0.8735323,0.82464707,0.8700576
hau,0.84915364,0.8896978,0.86427194,0.8732272,0.86908764
ibo,0.8771399,0.88325024,0.83783937,0.8649137,0.8657858
bam,0.8605478,0.88458025,0.8409997,0.852806,0.85973346
swa,0.84021074,0.91880685,0.8403288,0.8275186,0.8567163
mos,0.813985,0.85050476,0.8608496,0.79461396,0.82998836
ewe,0.8097733,0.8606876,0.84749615,0.77117765,0.82228374
pcm,0.7825012,0.8943113,0.81648964,0.7083552,0.8004143
fon,0.78872645,0.8373141,0.81414056,0.70326877,0.7858625
yor,0.7329939,0.76558787,0.71401954,0.7418449,0.7386115
bbj,0.69176877,0.8044604,0.72727823,0.6913065,0.7287035
