,ORG,PER,DATE,LOC,Mean
nya,0.9999977447858871,0.999996801491844,0.9999964684528316,0.9999982797526181,0.9999973236207952
kin,0.9999975268670055,0.9999969720481858,0.9999959028733642,0.9999985101517319,0.999997227985072
tsn,0.9999958753838186,0.9999968329629824,0.9999963845759946,0.9999947823507521,0.9999959688183869
lug,0.9999896126743771,0.9999987928595656,0.9999967037704522,0.9999981597967305,0.9999958172752814
luo,0.9999959186858148,0.9999956353534467,0.999994273518159,0.9999968824476733,0.9999956775012735
sna,0.9999974956071517,0.9999942623153557,0.9999949945441438,0.9999957881447868,0.9999956351528596
wol,0.9999964700463742,0.9999943173532276,0.9999953602864652,0.999995279777746,0.9999953568659533
zul,0.9999967115160386,0.999996615271273,0.9999909634066643,0.9999969933795687,0.9999953208933862
xho,0.9999960766792352,0.9999933295434846,0.99999450474208,0.9999954581893127,0.9999948422885281
ewe,0.999995873086787,0.9999915930156715,0.9999892237129406,0.9999958204273419,0.9999931275606851
mos,0.9999950263185962,0.999996271656119,0.9999886277624264,0.9999898105510556,0.9999924340720494
swa,0.999991257381401,0.9999933533949199,0.9999870501284941,0.9999918823144873,0.9999908858048256
ibo,0.999992827988245,0.99999308953406,0.9999856402910197,0.9999913329810829,0.9999907226986019
twi,0.9999950732273469,0.9999948902791325,0.9999803284074062,0.9999914497008643,0.9999904354036874
bbj,0.9999903547412807,0.9999937953434614,0.9999876407357988,0.9999898630910147,0.999990413477889
pcm,0.9999894483938373,0.9999964115870962,0.999982185642468,0.9999926818401862,0.9999901818658969
yor,0.9999935746058471,0.9999907720961015,0.999983459899557,0.9999892047834794,0.9999892528462462
hau,0.9999894593225004,0.999994895518681,0.9999766856115575,0.9999900220219468,0.9999877656186714
bam,0.999980706701677,0.9999893616472278,0.9999884860411521,0.9999798892417742,0.9999846109079578
fon,0.9999876350961486,0.9999886817253038,0.9999722924928492,0.9999872642113485,0.9999839683814125
