,LOC,ORG,PER,DATE,Mean
lug,0.74404633,0.7279259,0.6251085,0.6683444,0.6913563
kin,0.72729695,0.68484306,0.6161201,0.67098796,0.6748121
nya,0.704107,0.6937749,0.6195154,0.66346633,0.67021596
sna,0.692731,0.6874324,0.6142699,0.67649245,0.66773146
xho,0.6836207,0.6869657,0.58488387,0.6873262,0.6606991
tsn,0.66465545,0.67985314,0.61002225,0.6561223,0.65266335
zul,0.68387306,0.65948296,0.6132699,0.64906496,0.65142274
luo,0.67325914,0.65872526,0.6060483,0.6427153,0.64518696
hau,0.63924724,0.6371149,0.60010374,0.6547651,0.63280773
wol,0.6493641,0.64850557,0.6038531,0.62705624,0.63219476
ibo,0.65153503,0.6304593,0.59843636,0.61007106,0.62262547
swa,0.6268265,0.624638,0.597727,0.6170147,0.6165516
bam,0.6105643,0.6032625,0.5883342,0.6354973,0.6094146
twi,0.6141838,0.63686055,0.5803531,0.5906782,0.6055189
ewe,0.6137458,0.6143235,0.5793756,0.6103787,0.6044559
mos,0.5945341,0.6183378,0.59495574,0.60569304,0.6033802
yor,0.58766425,0.5936352,0.56780326,0.5751451,0.58106196
pcm,0.57575256,0.58903563,0.5683466,0.5619835,0.5737796
fon,0.5729196,0.5756238,0.5618078,0.5244425,0.5586984
bbj,0.5239323,0.5210382,0.54848915,0.54410243,0.5343905
