,ORG,DATE,LOC,PER
bam,0.9698066115379333,,0.9757821559906006,
bbj,0.9751248955726624,,0.950907289981842,
ewe,0.9738302826881409,,,0.978458821773529
fon,0.9807323813438416,,0.9643130898475647,0.9797234535217285
hau,0.9736080765724182,,0.9297738671302795,0.9788209199905396
ibo,0.9738398194313049,,0.9609519839286804,
kin,0.9635971784591675,,0.9528452157974243,0.9730903506278992
lug,0.9679197669029236,,,0.9813904762268066
luo,0.9557492733001709,,,0.9638235569000244
mos,0.9797008037567139,,,0.9792845845222473
nya,0.9710391163825989,,0.9693974852561951,
pcm,,,0.9543577432632446,0.9766365885734558
sna,,,0.9652048349380493,0.9755309224128723
swa,0.9212220311164856,,0.9385801553726196,0.9782260656356812
tsn,0.9746496677398682,,0.9622852206230164,
twi,0.9845591187477112,,0.9690213799476624,0.9880533814430237
wol,0.9641520380973816,,0.961466908454895,0.9851540923118591
xho,,,0.9614960551261902,0.9681735634803772
yor,0.976021945476532,,0.9383203983306885,
zul,,,0.9553146958351135,
