,LOC,PER,DATE,ORG
bam,,,,0.9425771832466125
bbj,,,,0.922447681427002
ewe,,0.9306635856628418,,0.9259112477302551
fon,,0.907554030418396,,
hau,,0.9442170858383179,,0.942040205001831
ibo,0.977118968963623,,,0.9525107145309448
kin,,,,0.9734164476394653
lug,,0.9562643766403198,,0.988423764705658
luo,,0.9576583504676819,,0.9615408778190613
mos,,0.926278829574585,,0.9612455368041992
nya,,,,0.9755176901817322
pcm,0.9316959381103516,0.9153384566307068,,
sna,0.9785686731338501,0.9445397257804871,,
swa,,0.9598110318183899,,
tsn,0.9804447889328003,,,0.9638558626174927
twi,,0.9315776228904724,,
wol,,,,0.9699769616127014
xho,0.9808493256568909,0.9472732543945312,,
yor,0.9491776823997498,,,0.9418785572052002
zul,0.974821150302887,,,
