,LOC,PER,DATE,ORG
bam,0.9777827858924866,0.9493680596351624,,0.9782047271728516
bbj,0.9564862847328186,0.9373556971549988,,0.9700037240982056
ewe,0.9826685786247253,0.9496200680732727,,0.979587972164154
fon,0.9808058738708496,0.9411078095436096,,0.9768692851066589
hau,0.9922995567321777,0.9425504803657532,,0.9899401068687439
ibo,0.9902124404907227,0.9584253430366516,,0.9848161935806274
kin,0.990054726600647,0.9492327570915222,,0.9876226782798767
lug,0.984809160232544,0.9580994844436646,,0.9934839010238647
luo,0.9903619289398193,0.9648627638816833,,0.9837508201599121
mos,0.9839375615119934,0.9506164193153381,,0.9854856729507446
nya,0.9904528260231018,0.9699738621711731,,0.9836349487304688
pcm,0.9712152481079102,0.9545199871063232,,0.975450873374939
sna,0.9833693504333496,0.9470102190971375,,0.9915573000907898
swa,0.9805196523666382,0.9730758666992188,,0.9652807712554932
tsn,0.9867942333221436,0.9620222449302673,,0.9847944378852844
twi,0.9831583499908447,0.9437147378921509,,0.9883752465248108
wol,0.9897233843803406,0.9664005041122437,,0.9850786924362183
xho,0.9879019260406494,0.9520079493522644,,0.9891383051872253
yor,0.9729185700416565,0.9554399847984314,,0.9747953414916992
zul,0.9832760095596313,0.9659878015518188,,0.9899280071258545
