,DATE,PER,ORG,LOC,Mean
lug,0.8740583,0.9913567,0.9628218,0.9792336,0.9518676
kin,0.9123335,0.9671383,0.95795965,0.9467297,0.9460403
luo,0.887799,0.9813881,0.971195,0.9422728,0.9456637
ibo,0.93226457,0.96848613,0.9679037,0.8902627,0.9397292
twi,0.86920583,0.97009987,0.972605,0.92729557,0.9348016
swa,0.8595929,0.97129774,0.963435,0.94136053,0.9339215
nya,0.8598651,0.9730655,0.9658524,0.85806066,0.91421086
tsn,0.8920916,0.96243584,0.96545255,0.8275379,0.91187954
sna,0.944294,0.9126009,0.9489958,0.80475193,0.9026606
bam,0.83689404,0.9638356,0.9078802,0.8991263,0.901934
ewe,0.74166775,0.9582247,0.953911,0.93140197,0.8963014
wol,0.88927835,0.95309013,0.94422543,0.7973049,0.8959747
fon,0.8547742,0.95766497,0.94407403,0.81378317,0.8925741
hau,0.9104305,0.95848656,0.9271188,0.76819515,0.8910577
pcm,0.70019174,0.97868097,0.9559157,0.9180645,0.8882133
zul,0.8930023,0.8873668,0.9328288,0.82755333,0.88518775
xho,0.95772064,0.9374634,0.88161355,0.7465024,0.880825
mos,0.75499034,0.95963603,0.93984425,0.80499643,0.86486673
bbj,0.774279,0.97247326,0.902241,0.6859807,0.83374345
yor,0.8361212,0.862548,0.8522788,0.6413001,0.7980621
