,DATE,ORG,LOC,PER,Mean
lug,0.9999523,0.9999895,0.9999649,0.9999946,0.9999753
luo,0.99986225,0.999988,0.99995804,0.99999124,0.9999499
twi,0.999898,0.99998057,0.9999289,0.99998146,0.99994725
nya,0.999922,0.99998885,0.9998302,0.9999765,0.9999294
kin,0.9998936,0.999989,0.9998442,0.99998975,0.99992913
wol,0.99983895,0.9999853,0.99990356,0.9999834,0.99992776
mos,0.99987274,0.99997437,0.9998663,0.9999908,0.9999261
tsn,0.99985164,0.9999491,0.99989945,0.99998605,0.99992156
zul,0.9998972,0.99998784,0.9998466,0.9999486,0.99992
bam,0.99985796,0.999942,0.99988264,0.9999827,0.9999163
swa,0.9998442,0.99987817,0.99997497,0.999954,0.9999128
sna,0.99978757,0.9999925,0.9999041,0.9999441,0.999907
ibo,0.999741,0.9999258,0.9999086,0.999989,0.9998911
xho,0.99985,0.999983,0.9996791,0.9999735,0.99987143
yor,0.999758,0.9999628,0.999789,0.9999306,0.9998601
ewe,0.99972636,0.9999878,0.9998601,0.99972224,0.9998241
bbj,0.9995147,0.9999431,0.99977636,0.9999831,0.9998043
pcm,0.99985445,0.99995726,0.9995823,0.99966204,0.99976397
fon,0.99988335,0.9999576,0.9988488,0.99997354,0.9996658
hau,0.99371713,0.9977055,0.9883715,0.9999053,0.99492484
