,LOC,PER,DATE,ORG,Mean
twi,0.9725795984268188,0.9783610105514526,,0.9761953353881836,0.975711981455485
kin,0.9679795503616333,0.9615286588668823,,0.9720741510391235,0.967194120089213
luo,0.9661487340927124,0.9587177634239197,,0.9616329073905945,0.9621664683024088
lug,0.9724015593528748,0.9380640983581543,,0.9567433595657349,0.9557363390922546
ewe,0.9519314765930176,0.955474853515625,,0.9550025463104248,0.9541362921396891
swa,0.9697813987731934,0.9570295214653015,,0.9332644939422607,0.9533584713935852
pcm,0.9718919396400452,0.9771623015403748,,0.9076843857765198,0.9522462089856466
tsn,0.9388965964317322,0.9638254046440125,,0.9457336664199829,0.9494852224985758
nya,0.8888570666313171,0.9833391904830933,,0.9697812795639038,0.9473258455594381
bam,0.9295783042907715,0.9718555212020874,,0.9082772135734558,0.9365703463554382
hau,0.8788764476776123,0.9645525217056274,,0.9596091508865356,0.9343460400899252
ibo,0.8644010424613953,0.975730836391449,,0.9605764150619507,0.9335694313049316
wol,0.877679169178009,0.9699857234954834,,0.9491528868675232,0.9322725931803385
zul,0.9158087968826294,0.9270634055137634,,0.9507009387016296,0.9311910470326742
mos,0.8766467571258545,0.9545880556106567,,0.9580548405647278,0.9297632177670797
fon,0.8675716519355774,0.94459468126297,,0.9602844715118408,0.924150268236796
sna,0.8712862730026245,0.9618306159973145,,0.9359536170959473,0.923023502031962
bbj,0.8294290900230408,0.9683331251144409,,0.9461163282394409,0.9146261811256409
xho,0.848810076713562,0.8916984796524048,,0.9371471405029297,0.8925518989562988
yor,0.797598659992218,0.9074118733406067,,0.9351574182510376,0.8800559838612875
