,LOC,PER,ORG,DATE
bam,0.9700705409049988,,0.9589153528213501,
bbj,0.9392149448394775,,0.9759822487831116,
ewe,,0.9787442684173584,0.974052369594574,
fon,0.9563965201377869,0.976571261882782,0.9813587665557861,
hau,0.9441043734550476,0.9799363613128662,0.9764127731323242,
ibo,0.9450345039367676,,0.9767943024635315,
kin,0.9546507000923157,0.9799559712409973,0.9643234014511108,
lug,,0.980974018573761,0.9645674824714661,
luo,,0.9673363566398621,0.959235668182373,
mos,,0.9749802350997925,0.977645754814148,
nya,0.9652694463729858,0.9853196144104004,0.9732744097709656,
pcm,0.9619535207748413,0.9826459288597107,0.9465214610099792,
sna,0.9644381999969482,0.9774284958839417,0.9755059480667114,
swa,0.9529482126235962,0.9819493889808655,0.9533349871635437,
tsn,0.9614755511283875,,0.9767457246780396,
twi,0.9678367376327515,0.9857125282287598,0.9847654700279236,
wol,0.9550468325614929,0.9865582585334778,0.9753131866455078,
xho,0.9568842053413391,0.9666582942008972,,
yor,0.9226290583610535,,0.9774454236030579,
zul,0.9572605490684509,0.9775071144104004,,
